"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std.Dev","ADP","vs..ADP","Pick","Owner"
170,10,NA,"C.J. Anderson","DET","RB58",5,5,289,180.3,30.7,"187.0",17,0,""
171,10,NA,"Robert Foster","BUF","WR65",6,23,295,175.1,46.9,"240.0",69,0,""
172,10,NA,"Devante Parker","MIA","WR66",5,9,276,178.5,35.8,"204.0",32,0,""
173,10,NA,"Jacksonville (JAC)","","DST2",10,130,246,154,17.3,"136.0",-37,0,""
174,10,NA,"Noah Fant","DEN","TE23",10,24,282,174.5,41,"168.0",-6,0,""
175,10,NA,"Quincy Enunwa","NYJ","WR67",4,107,298,181,35.7,"284.0",109,0,""
176,10,NA,"Tre'Quan Smith","NO","WR68",9,15,269,181.6,34,"182.0",6,0,""
177,10,NA,"Andy Dalton","CIN","QB26",9,35,241,180.6,21.4,"233.0",56,0,""
178,10,NA,"Mike Davis","CHI","RB59",6,11,322,190.6,39.9,"232.0",54,0,""
179,10,NA,"Los Angeles (LAR)","","DST3",9,144,239,160,15.3,"100.0",-79,0,""
180,10,NA,"Minnesota (MIN)","","DST4",12,134,244,164.1,14.2,"145.0",-35,0,""
181,10,NA,"Justin Jackson","LAC","RB60",12,83,320,195.5,50.9,"165.0",-16,0,""
182,10,NA,"Baltimore (BAL)","","DST5",8,144,277,166.1,27.3,"157.0",-25,0,""
183,10,NA,"Greg Zuerlein","LAR","K1",9,3,245,172.9,11.5,"122.0",-61,0,""
184,10,NA,"Justice Hill","BAL","RB61",8,98,322,191.2,52.3,"169.0",-15,0,""
185,10,NA,"Deebo Samuel","SF","WR69",4,81,317,181.2,45.5,"205.0",20,0,""
186,10,NA,"Mike Gesicki","MIA","TE24",5,38,299,189.3,41.2,"236.0",50,0,""
187,10,NA,"Jalen Richard","OAK","RB62",6,100,274,198.3,35.4,"201.0",14,0,""
188,10,NA,"Nick Foles","JAC","QB27",10,31,313,194.6,28.6,"203.0",15,0,""
189,10,NA,"Los Angeles (LAC)","","DST6",12,141,330,167.1,24.6,"143.0",-46,0,""
190,10,NA,"Zay Jones","BUF","WR70",6,74,297,195.5,42.2,"237.0",47,0,""
191,10,NA,"David Moore","SEA","WR71",11,96,343,199.1,33.8,"281.0",90,0,""
192,10,NA,"Houston (HOU)","","DST7",10,145,303,175.5,23.1,"166.0",-26,0,""
193,10,NA,"Marcus Mariota","TEN","QB28",11,30,284,198.3,26.8,"195.0",2,0,""
194,10,NA,"Justin Tucker","BAL","K2",8,2,276,184,18.1,"133.0",-61,0,""
195,10,NA,"Harrison Butker","KC","K3",12,147,225,185.7,9.3,"150.0",-45,0,""
196,11,NA,"Chase Edmonds","ARI","RB63",12,14,316,209.6,40.2,"258.0",62,0,""
197,11,NA,"Cleveland (CLE)","","DST8",7,137,250,184.9,19.9,"162.0",-35,0,""
198,11,NA,"Stephen Gostkowski","NE","K4",10,148,252,191.9,13.1,"163.0",-35,0,""
199,11,NA,"Taylor Gabriel","CHI","WR72",6,20,306,203.6,32.5,"270.0",71,0,""
200,11,NA,"Tyler Eifert","CIN","TE25",9,42,338,206.2,45.7,"202.0",2,0,""
201,11,NA,"New Orleans (NO)","","DST9",9,140,249,192.7,18,"183.0",-18,0,""
202,11,NA,"Randall Cobb","DAL","WR73",8,101,331,208.9,34.5,"189.0",-13,0,""
203,11,NA,"Alexander Mattison","MIN","RB64",12,129,354,201.5,49.8,"170.0",-33,0,""
204,11,NA,"Trey Quinn","WAS","WR74",10,93,298,196.5,49.2,"282.0",78,0,""
205,11,NA,"Rex Burkhead","NE","RB65",10,17,334,199.7,39.3,"264.0",59,0,""
206,11,NA,"Marquise Brown","BAL","WR75",8,79,366,201.4,45.6,"173.0",-33,0,""
207,11,NA,"Gerald Everett","LAR","TE26",9,121,305,205.5,37.1,"275.0",68,0,""
208,11,NA,"Marqise Lee","JAC","WR76",10,97,344,206.2,45.1,"253.0",45,0,""
209,11,NA,"Denver (DEN)","","DST10",10,139,248,200.7,13.8,"159.0",-50,0,""
210,11,NA,"Mecole Hardman","KC","WR77",12,67,364,212.7,51.8,"164.0",-46,0,""
